transaction_id,customer_id,transaction_date,amount
180,5129,"Jun 19, 2022",27.46
5045,4053,2023-11-30,347.84
1841,2626,03-11-2023,392.51
905,2251,"Oct 03, 2022",367.52
2013,4014,2023-12-12,341.99
2457,1102,"Mar 18, 2022",25.43
1056,3135,2023-05-24,30.63
4685,3565,"Oct 18, 2023",317.85
9483,901,11/28/2023,457.57
7795,1958,"Apr 05, 2024",331.84
1,1686,"Aug 17, 2022",195.87
1332,2951,2022-08-17,119.68
10068,4023,17-03-2023,370.32
316,2059,19 Nov 2023,241.33
3707,1141,10 Sep 2023,470.97
9659,5108,10 Jun 2023,317.13
8259,3351,07-05-2024,210.18
1469,502,2024-11-06,226.83
1171,2719,03/24/2024,53.66
6810,686,17-08-2023,193.16
7547,1494,"Jun 18, 2024",72.32
478,1209,2022-12-05,108.2
7296,451,01/06/2023,209.32
3752,540,"Apr 18, 2024",38.87
4362,2352,2024-12-31,318.85
2614,4915,"Aug 24, 2022",232.82
8578,4616,09/10/2023,368.23
7474,1554,05-05-2022,135.24
7747,2431,04-06-2024,285.17
4300,2536,21-04-2024,443.56
6095,4467,06 May 2022,461.4
2742,1869,13 Apr 2023,264.8
10326,2690,2022-05-25,85.52
4293,410,06/19/2022,10.58
4072,230,"Oct 03, 2023",193.19
6808,542,07 Jun 2024,133.82
4141,5156,2023-06-28,353.13
7989,7,09-01-2024,155.46
6505,1653,2022-08-11,108.78
2903,2443,11/13/2023,442.42
1819,3201,01/28/2023,15.48
4106,2343,15 Feb 2022,35.79
539,2068,29-01-2022,218.59
5920,2392,07-02-2024,87.29
1122,1525,"Mar 06, 2023",425.47
7968,1936,24-05-2022,225.2
5471,2398,18 Jan 2024,223.21
6378,1268,12/07/2022,100.31
3660,29,23 Dec 2024,191.33
10143,2406,"Aug 24, 2024",212.02
7050,616,"Aug 06, 2024",388.58
8674,3301,"Mar 09, 2023",320.17
1248,4293,"Feb 10, 2022",426.12
525,3880,2022-01-31,358.89
6848,1608,"Jun 25, 2023",16.0
6500,2103,"Sep 21, 2024",432.17
4620,1471,21-11-2022,142.37
6900,5121,01/09/2025,186.66
6968,1181,01/10/2024,376.85
3630,1738,08/30/2023,92.21
9254,2037,24-03-2023,71.22
7461,875,08/07/2024,189.25
10089,2053,"Mar 11, 2022",239.94
9728,1368,15 Jun 2024,392.2
1603,3244,"Aug 08, 2024",350.35
8995,2793,2024-02-13,424.11
4946,571,18-03-2024,453.83
113,1368,11/11/2024,495.07
6506,3331,"Sep 04, 2022",456.95
2803,160,2023-02-23,282.18
2488,4371,2024-03-05,475.29
3288,2707,07/04/2024,317.15
6054,3049,16 Dec 2023,459.02
8353,1641,09 Jun 2023,433.81
5325,5018,06/10/2023,251.6
1461,751,30-11-2023,11.88
429,2168,07/28/2022,55.28
3033,1881,"Nov 03, 2022",297.3
4901,1689,26-04-2024,218.47
9025,3628,11/26/2023,442.74
214,3351,01-06-2023,39.79
7843,1025,02/05/2023,458.05
5795,260,04/16/2022,216.78
5976,4423,"Jan 23, 2024",11.07
9687,5140,2023-01-17,487.63
5372,2334,2024-01-29,424.25
3410,4717,"Nov 20, 2024",43.39
495,4376,30 Jan 2022,
929,1391,"May 14, 2023",87.5
1374,5146,06/01/2022,439.2
2875,1401,02/02/2024,98.42
4801,4553,"May 11, 2024",167.28
2746,4262,"Aug 23, 2023",77.88
2879,2999,"Dec 06, 2022",17.27
2322,2959,,208.93
10318,2590,12 Apr 2022,418.75
4437,88,"Jan 21, 2022",224.39
9067,2868,07/29/2024,481.91
7873,973,"Nov 02, 2023",342.32
10459,211,20-05-2024,261.32
9805,1560,,338.14
2507,5119,2022-07-26,226.75
4426,1916,05/28/2023,14.57
5352,479,03/03/2024,109.29
9138,4355,28-05-2024,177.7
1700,2841,16-03-2022,209.43
9837,3342,09/15/2024,311.48
6509,3850,07 Feb 2024,434.96
7656,4309,,453.97
9235,676,12/09/2023,491.64
7148,633,09-07-2022,310.5
8129,1855,07/28/2023,356.24
5947,934,26 Jun 2023,178.43
3277,1283,"Oct 01, 2023",413.07
6458,4479,25-06-2023,486.54
3091,240,2022-04-07,169.65
1453,5059,2022-09-07,44.49
5072,4475,13-02-2023,205.68
10137,450,"Oct 08, 2024",240.93
4821,3779,10-03-2022,68.35
3380,4521,27 Apr 2022,324.74
1179,4094,06 Oct 2023,54.46
8891,1520,2023-11-11,479.65
2372,3798,11/15/2024,87.72
5435,1806,2024-07-29,21.56
7396,3648,01/14/2023,15.76
4039,4953,2022-10-28,194.7
1928,5031,"Nov 21, 2024",
8880,3235,12/21/2023,460.87
5740,743,2024-12-21,427.03
3422,2037,05 Sep 2022,31.46
9989,5017,04/16/2024,171.57
3164,1290,20 Jan 2023,67.86
2272,344,"Dec 30, 2022",27.83
2626,4069,08 Apr 2022,381.62
2390,3038,07/22/2024,265.79
6780,2491,"May 26, 2022",427.22
1810,1328,03-05-2022,52.32
7445,3753,07-07-2024,166.66
5519,4300,08/12/2023,472.36
5953,4187,02 Dec 2022,55.65
3470,3461,10/06/2024,344.56
9882,1544,2023-11-28,394.77
9975,2729,"Mar 28, 2022",344.24
5149,1891,05 May 2022,224.78
7146,839,2024-10-04,314.81
6762,1971,2024-05-05,146.16
3651,2264,13 Sep 2023,216.36
9581,761,"Nov 06, 2024",141.34
5500,3091,14-09-2022,344.76
10101,1271,24-12-2022,205.45
6659,1846,2023-01-07,498.31
6928,4853,17 Oct 2023,83.86
5213,2532,30-06-2023,83.54
6938,3516,2022-11-03,130.71
9637,5148,2022-10-22,326.49
10285,2590,2023-05-13,484.22
1224,4613,"Nov 19, 2023",291.79
5434,2399,2023-01-25,256.66
2318,427,"Sep 15, 2023",77.08
7726,3470,26 Feb 2022,78.06
4636,1670,"Sep 17, 2022",115.1
5622,1286,2022-01-19,180.76
10121,2151,2023-01-22,75.43
418,3069,08/11/2023,235.57
2928,4726,"May 17, 2023",106.12
8351,3463,"Apr 12, 2022",189.07
5780,3643,09/03/2024,414.82
10035,4611,08/16/2024,18.51
6528,4718,05/22/2022,440.04
2454,1620,05-05-2024,74.99
532,4835,13 Feb 2022,136.34
5193,4729,06-07-2024,366.11
6249,1773,06-02-2023,297.45
4553,3089,03 Feb 2022,47.24
4202,1074,"Aug 11, 2022",81.12
7939,705,15-01-2024,327.77
7815,2929,"Jul 09, 2024",163.21
3828,157,01/30/2022,79.74
3929,2554,"Jun 21, 2022",92.07
9324,3544,10 Feb 2023,126.35
6430,3576,"Jan 06, 2024",155.33
5385,3834,"Nov 03, 2023",64.86
9222,105,"Mar 02, 2024",440.61
4427,134,06/06/2023,75.88
7387,5006,02/21/2024,269.55
6880,3104,12/08/2023,478.12
1515,4501,"Nov 03, 2024",146.06
6655,2591,10/24/2023,31.68
10492,715,06/13/2022,100.96
9070,3638,01/09/2023,211.0
8756,145,"Nov 09, 2024",418.66
5427,2982,31 Jul 2023,32.75
8106,3192,2023-12-07,116.64
2465,3444,"Jan 12, 2023",63.18
4765,3284,2023-09-11,411.07
4661,4410,01-09-2023,266.1
2505,1807,2023-09-23,352.4
8151,745,"Dec 04, 2024",
4068,285,08 Dec 2024,406.37
8416,4402,06/18/2023,458.73
8331,3894,2022-12-20,147.88
2149,4969,05/24/2024,119.66
8695,3914,03/22/2024,324.26
4097,3041,22-04-2024,292.1
6175,3046,08/06/2024,458.52
6138,43,2024-11-24,349.0
2281,4857,03/06/2024,76.53
7117,1322,02-08-2023,78.6
4776,1766,11/28/2022,466.62
5189,1926,"Aug 21, 2024",78.04
1344,3423,2024-09-20,235.68
4934,4699,"Aug 29, 2024",492.53
5018,2220,"Sep 09, 2023",390.07
6387,3917,2022-04-18,23.86
10177,3002,"Dec 11, 2022",55.53
3438,1039,05/29/2024,353.1
2369,1989,2024-01-18,250.06
4917,1368,30 Mar 2022,418.36
5719,4436,19-05-2022,94.18
6638,3171,2022-01-22,425.19
4109,1290,07-02-2023,471.07
3919,3217,2024-08-27,
6356,178,"Jan 06, 2023",291.86
3655,4823,01/01/2025,165.03
8775,4037,"Aug 15, 2024",338.03
7744,3432,2022-02-17,183.43
334,4597,18 Mar 2024,275.1
1255,4679,"Jul 30, 2023",323.81
1882,4530,19 Nov 2023,167.36
829,3837,2024-07-19,121.56
6104,2730,2022-05-12,489.3
1552,2180,2023-10-27,42.79
6736,771,31-01-2022,208.2
7103,3098,11/11/2022,259.53
5938,2277,29-07-2024,332.76
9149,2891,"May 18, 2022",71.9
6081,4425,04-01-2025,223.04
4090,3031,2022-09-26,20.84
3753,2879,"Dec 02, 2024",472.06
9578,3467,06/14/2024,417.75
2028,2577,2024-01-02,248.74
7334,2793,08-07-2023,448.8
5021,4283,01-12-2022,451.56
1674,1924,26-06-2022,233.07
6112,3950,04/05/2023,333.63
9166,3765,2022-04-13,158.32
1811,1531,"Aug 21, 2023",335.67
758,4360,09-03-2023,132.02
1310,2014,2024-12-18,304.81
629,3426,02 Dec 2024,487.38
655,573,"Aug 22, 2023",13.37
9741,2618,"Nov 28, 2023",178.9
6627,139,21 Mar 2023,345.77
5525,2109,18-11-2023,390.49
5074,1241,11/24/2022,391.73
10339,1116,10-01-2024,219.46
8948,2493,2023-03-30,33.07
3451,5051,25 May 2022,334.95
9177,3849,"Mar 09, 2024",366.53
4255,123,04 Apr 2024,44.85
9316,1890,"Feb 04, 2024",95.1
2552,3332,04 Apr 2023,111.88
5870,3481,09/28/2024,300.15
9293,429,2022-02-08,143.96
4424,1094,04 Apr 2024,264.95
3008,1064,2024-11-25,125.15
3312,3397,18 Dec 2023,197.29
8696,2188,11/05/2023,151.4
2261,2787,2023-07-22,428.22
7771,68,21 Aug 2022,35.06
759,2256,2022-03-08,342.14
5603,5108,16 Sep 2023,376.97
2519,805,13 Sep 2023,225.1
3092,1414,31-07-2024,86.04
2690,4297,12-04-2023,417.38
5150,4567,"Jun 05, 2023",488.45
7871,1285,2024-09-04,335.59
3862,2491,18 Mar 2022,388.7
3994,846,2022-06-12,129.41
1795,952,21 Dec 2022,59.75
949,1854,06 Oct 2022,132.83
7230,166,2022-01-17,456.71
5406,2402,18-08-2022,105.14
2100,4848,05/15/2024,157.17
5461,4037,03/04/2023,171.46
9058,3134,04/30/2023,432.13
10071,1191,16 Oct 2022,40.45
1381,2520,"Apr 29, 2022",421.93
5080,4455,31 Jul 2022,295.86
1280,2102,13-04-2022,478.11
9010,1243,07 Oct 2023,91.55
9420,4064,21 Dec 2022,206.72
8325,2902,29-05-2024,425.74
8001,3181,2022-08-20,163.46
5001,3295,09/24/2022,137.46
1419,193,"Sep 11, 2024",249.91
5674,1163,24 Feb 2023,353.6
4927,98,04 Aug 2024,386.71
1580,1621,04/12/2024,356.09
5117,3655,14-05-2023,400.94
5858,490,08-08-2023,INVALID
5349,1964,2022-11-12,253.37
407,4141,,210.53
9299,3050,2024-09-07,429.37
10060,3424,04 May 2023,30.64
4228,2654,16 Jan 2022,82.76
6764,1049,2022-11-26,75.48
424,4629,06/07/2023,164.62
9592,218,2022-03-30,411.09
107,3720,04-08-2024,17.6
1304,1255,16 Apr 2024,473.94
2720,4278,05 Dec 2023,154.82
5551,4526,06/22/2022,208.03
8856,626,04 Jun 2023,63.59
1824,1123,09 Jan 2023,166.57
7221,3705,2024-04-28,40.1
5994,666,2025-01-05,97.53
8357,111,04/23/2022,432.23
4938,347,2022-08-21,291.24
1994,3023,25 Dec 2024,364.37
1393,2304,2023-11-20,348.08
4128,4081,07/19/2024,33.82
10142,3712,04/04/2023,352.7
6773,3706,"Sep 28, 2022",310.99
8494,4313,01/24/2023,321.86
2579,1070,10/27/2022,190.45
5086,4613,2024-11-10,483.19
266,4596,"Jul 02, 2024",146.49
4598,4358,2024-06-06,116.31
3851,2315,2024-06-14,31.47
6119,3433,01 Aug 2022,52.22
4289,3098,2022-12-24,143.42
7209,262,20-02-2024,144.21
1763,3994,2022-07-11,381.93
562,2105,"Jul 23, 2022",363.58
1899,3726,01/03/2024,468.03
6901,5095,11/26/2022,241.23
4855,3104,08/24/2024,467.42
763,2615,18 Jul 2024,447.75
3941,4512,2022-09-09,13.0
9349,3162,"Jul 22, 2023",469.75
8144,4529,10/20/2023,437.58
2827,4062,"Nov 01, 2024",277.6
3987,107,06/12/2024,72.51
295,1932,01 Apr 2024,167.7
8189,2409,10/25/2024,11.08
1268,2234,07/28/2024,210.51
9385,561,2023-08-02,435.51
3020,2291,2024-06-09,275.26
4578,2534,19-10-2024,494.52
4296,2533,13-09-2022,276.93
4763,2810,15 Aug 2024,477.8
6820,1998,21-01-2024,226.0
9535,4951,02/08/2022,471.86
7980,4299,06/28/2022,244.14
2899,4443,16 Dec 2023,222.24
4976,2417,2023-12-17,96.77
5200,333,"Aug 19, 2023",34.82
7527,3961,07-02-2022,425.9
4120,986,04/13/2023,48.91
872,2584,04/07/2023,464.95
7136,4347,24 Dec 2024,300.1
1104,4365,2022-05-26,183.36
8283,651,"Apr 19, 2023",426.58
4704,2477,23 Feb 2022,65.15
3326,121,"Aug 07, 2024",42.83
7463,4239,08/26/2023,489.11
4610,4502,08-07-2022,19.75
5950,2070,07/07/2023,442.42
8411,845,07/24/2022,18.18
3412,520,19-04-2023,53.7
8703,530,21 Aug 2024,233.48
3469,577,"Oct 21, 2024",242.5
1676,2238,"Feb 24, 2022",142.33
6001,3757,14-10-2023,188.47
6024,1619,18-08-2022,480.76
4589,973,18 Aug 2024,301.94
3200,1051,2024-10-30,391.82
9807,2250,"Feb 21, 2024",106.77
5732,2871,12/13/2024,14.23
4516,4249,2024-06-29,254.56
7864,199,17 Mar 2024,376.76
5762,2441,30 Oct 2024,419.81
2440,4011,2024-03-02,410.36
9393,733,"Jun 06, 2023",256.85
9590,1326,"Sep 13, 2024",122.12
5383,3834,10-06-2022,303.38
5051,3955,12 May 2022,360.15
3750,4443,01/01/2025,462.86
1219,481,23-03-2024,459.14
376,4119,11-07-2024,461.57
1616,158,19 Dec 2024,260.02
2892,5108,"Jun 23, 2024",308.39
8730,1975,"Oct 18, 2022",156.24
8850,2609,02/03/2023,231.24
7578,1967,"Oct 20, 2024",408.03
3627,1413,05 Dec 2024,263.37
7299,1082,03/21/2023,130.49
6859,845,23-03-2024,164.37
4773,1510,03/17/2024,470.08
6994,2230,17-10-2022,368.38
8519,3796,"Dec 28, 2022",457.31
2205,4828,28-11-2022,317.25
5538,1067,23 Sep 2024,233.17
7084,4672,"Jan 20, 2024",491.17
3693,3513,2024-08-01,98.5
10439,2987,07/01/2022,438.91
5179,3304,2024-02-12,232.18
7559,1241,08 Oct 2023,215.34
3493,2984,22-02-2024,250.11
1116,1770,07/30/2022,81.23
2400,4342,28-09-2022,461.7
1913,3468,13 Jun 2022,110.4
4016,548,"Dec 12, 2022",313.84
6428,1701,13-09-2024,80.03
10443,2564,18 Apr 2024,74.18
7060,3105,19 Aug 2022,69.84
9928,5042,2024-10-26,295.37
1339,3768,2024-12-14,211.08
2380,3723,06 Jan 2025,180.44
9467,3127,06/13/2023,401.83
9804,4334,2024-02-05,123.15
6695,2404,12 Jun 2024,22.12
4619,5176,2022-09-16,32.74
5407,1106,26 Oct 2024,114.51
9846,4492,18 Mar 2023,104.62
9611,2700,2024-01-02,485.18
648,3778,01/20/2022,235.0
6904,1455,21 Jun 2022,498.67
8302,2004,"Aug 03, 2024",123.99
1062,3226,05/01/2024,361.96
66,1314,"Sep 06, 2023",190.47
9887,1170,25 Jan 2022,226.65
7784,40,"Sep 01, 2022",156.95
457,4719,06 Jun 2023,350.3
9215,1215,2023-07-28,238.71
5752,432,07-05-2024,481.81
1408,1106,23 Apr 2023,315.78
2588,347,"May 09, 2022",101.43
4241,3508,"Feb 24, 2023",488.9
9063,954,2024-07-25,481.3
7974,3291,"Jul 10, 2024",384.81
3911,262,"Sep 13, 2022",289.95
7724,2144,23 Jan 2023,394.89
6682,3637,11/13/2022,65.78
3563,696,"Dec 27, 2024",230.87
8483,806,01 Nov 2022,79.27
4781,2364,12/12/2024,345.52
1716,4700,03/02/2022,78.37
286,483,15 Apr 2024,386.03
2347,939,2024-06-10,208.72
9404,815,22-05-2024,195.48
6236,4551,07-03-2023,454.54
2133,3005,"Oct 16, 2023",342.58
8287,5001,24-12-2023,327.78
6243,69,17-04-2024,191.77
8125,5093,04/23/2024,240.53
4306,3332,2024-08-26,129.69
7695,2527,03/07/2023,267.54
6778,1346,02/26/2024,113.53
2783,209,"Jul 04, 2024",33.48
8452,1418,08/15/2024,162.76
209,3262,25 May 2024,355.36
4764,4577,13 Sep 2024,452.17
3835,1916,"Apr 14, 2022",164.41
7119,1483,26-12-2023,95.74
4856,4854,"Oct 17, 2023",406.45
8623,528,2022-04-26,355.82
5071,3891,"Jul 18, 2024",15.88
8910,4625,25 May 2022,362.47
7493,4223,"Apr 22, 2024",177.08
6251,1351,09-12-2022,38.76
9755,4323,22-12-2022,218.59
6757,3707,04-03-2024,235.24
4335,598,30-12-2023,397.94
8963,1062,17 Jun 2023,134.29
2195,1211,18-09-2023,172.93
8153,534,16-10-2024,490.14
8684,2986,01/24/2022,371.55
391,1079,01/11/2023,50.58
4020,3439,2022-07-23,248.56
8681,2860,23 Mar 2023,210.3
5797,4952,23-05-2023,153.24
4026,333,2024-02-20,197.75
608,1079,12/13/2023,195.43
256,4819,20 Jul 2023,398.38
9405,4565,2023-08-18,245.71
476,3758,30-09-2024,204.04
3330,3828,2023-05-26,34.98
35,480,08/31/2024,293.99
9062,2791,15-09-2024,130.25
570,3875,2023-12-30,115.45
1564,1542,,479.29
3206,2942,"Jul 10, 2024",279.35
262,2165,07/06/2022,484.94
549,4383,10 Jul 2023,56.34
5332,4100,16 Jan 2022,438.47
3152,4808,"Jul 03, 2022",377.15
1220,3936,"Mar 19, 2023",407.34
8709,822,"Jul 13, 2023",220.43
8196,2109,12/15/2022,112.26
1351,4657,22 Sep 2023,105.35
9071,2480,"Jun 25, 2022",485.61
7822,2050,2023-04-30,198.78
3338,686,2023-12-14,125.25
2171,1719,2022-07-29,448.84
5729,657,"Jan 31, 2024",395.01
8598,1350,"Jul 29, 2023",361.28
9786,3522,15 Jan 2022,383.4
5354,1652,17-06-2023,61.47
10178,1538,01 Sep 2024,126.79
4248,1733,05/17/2023,299.56
1023,2683,2024-09-10,15.28
7072,2822,2024-12-22,175.2
445,1146,07-05-2022,238.95
9266,2841,"Aug 15, 2023",95.51
875,2221,25 Dec 2024,124.16
10399,4774,31-07-2022,421.75
2976,2512,2024-02-14,317.78
9343,4915,2022-09-28,82.91
8094,2082,28-08-2022,417.71
2919,5031,10/02/2022,41.11
6803,3272,08/27/2022,245.74
1680,245,07/04/2022,28.21
23,2424,21 Jun 2024,175.39
8693,2129,15-07-2022,116.6
3251,3472,"Feb 07, 2022",262.98
2394,4647,2023-03-06,479.01
7658,3249,29-12-2023,440.76
873,1711,2022-02-03,108.83
7519,4937,02/15/2024,40.12
3855,4512,2023-08-05,34.26
8121,1542,2022-09-01,171.02
9937,1110,25 Nov 2022,198.94
1867,5173,20-02-2023,40.84
8533,4526,"Aug 07, 2024",24.05
4487,2840,28 Jan 2023,491.43
3035,1937,08/07/2023,74.25
128,4830,2024-08-19,459.01
5845,3246,"Dec 27, 2023",366.59
921,3058,06 May 2024,455.4
3457,3123,01/17/2022,287.94
3733,1,22-11-2024,358.05
2336,1949,08/13/2023,39.09
8838,4779,06-07-2023,60.81
6183,3131,2022-09-08,
9147,1071,2024-01-08,32.65
2530,4722,07/14/2023,274.61
10136,848,"Jun 14, 2023",365.02
988,1818,2022-12-29,390.2
7534,3560,"Sep 02, 2022",181.43
10246,4386,"Dec 15, 2022",33.24
8107,432,08-10-2022,305.52
7824,2601,07/22/2023,416.92
2769,1972,09/11/2024,297.93
1520,869,29-05-2022,42.78
9938,2813,2022-11-14,149.56
2728,1593,03/06/2023,477.11
8692,3165,06/03/2022,99.37
2737,965,10-12-2023,234.02
6280,2319,"Aug 24, 2023",383.42
8282,693,01/14/2022,20.65
3026,5034,07/31/2024,456.14
3962,3922,25-09-2024,272.14
9335,1768,11/01/2022,349.44
7988,1678,11/23/2024,366.49
7106,4194,02/06/2022,228.09
1508,2996,2022-09-24,16.84
8535,3429,09-09-2022,393.76
369,1565,11/11/2023,197.4
6223,4689,13 Feb 2022,176.09
8526,2742,11 Jul 2024,101.27
8112,5094,01/26/2023,32.61
3778,3377,"Jun 04, 2023",178.86
4511,13,"Mar 20, 2023",349.25
7394,2210,2022-12-15,165.16
9381,3939,2022-12-05,139.08
5270,3518,26-01-2023,223.26
2185,2741,22-10-2024,82.6
6800,1707,"Apr 03, 2022",417.55
7752,1769,31 Dec 2022,222.75
1423,3547,01 Sep 2022,175.38
3636,3556,,195.91
2807,391,2022-04-02,491.17
3282,525,08 Oct 2023,267.06
10491,3503,15-04-2022,277.96
8912,1880,2024-09-04,156.2
1291,1512,09/06/2022,50.97
1432,295,22-04-2024,350.69
7632,2101,"Nov 12, 2024",386.86
9726,458,06/01/2024,387.75
2692,331,09/07/2024,66.76
2314,823,04/12/2022,INVALID
130,64,21 Nov 2023,300.84
10284,2068,13-04-2024,264.05
489,3797,"Feb 15, 2024",356.05
10088,4507,05-07-2024,238.23
2904,2767,2023-06-08,424.61
2921,3780,23-03-2024,252.5
10,5092,2022-02-10,222.7
8986,2163,04/25/2023,497.33
1114,1794,14 Aug 2024,130.22
4440,2846,05-09-2023,377.94
4520,1362,30 Sep 2024,15.06
3614,4901,05/12/2023,274.82
2938,3741,15 Jul 2022,288.9
1868,5154,"Sep 10, 2022",141.42
3582,1881,15 Jan 2022,441.74
9584,4849,"Sep 23, 2024",217.21
4931,1976,01 Oct 2024,395.76
2445,3499,2024-11-27,351.23
9178,1931,03 Sep 2022,382.27
2328,851,2024-02-23,319.11
5783,1624,01/30/2023,395.39
904,130,23-10-2024,476.14
4475,4792,2023-10-06,393.15
2889,324,"Oct 28, 2023",283.19
592,1393,12/03/2022,339.76
7750,3515,"Dec 04, 2022",318.69
902,692,10-12-2023,328.71
9412,3072,03 Jul 2023,478.1
3923,3740,01/03/2025,173.7
2413,3866,05-12-2022,316.06
2540,2798,2022-11-02,53.46
4860,4953,2023-06-22,292.04
10163,2735,2022-12-25,323.6
5683,515,"Jan 08, 2025",183.38
9451,837,09 Oct 2022,100.38
6588,4102,09/07/2023,83.29
7194,480,"Jun 03, 2022",78.61
2414,2007,17 Aug 2022,169.11
2289,874,01/29/2023,36.91
3895,169,09/18/2024,11.36
396,137,11-01-2025,173.01
2729,1560,"Jul 03, 2023",63.09
250,1075,"Mar 07, 2023",410.96
3243,4547,2024-03-01,39.11
9735,953,27-12-2023,212.1
8244,3213,27-06-2022,245.41
1707,2075,03 Apr 2023,443.54
4555,222,"May 28, 2023",326.69
9225,5001,24-09-2023,400.62
6656,4021,2024-02-16,170.67
6841,434,"Mar 11, 2023",209.21
7227,2640,11/18/2024,323.62
5718,4346,"Mar 06, 2022",104.13
1135,4386,22-05-2023,163.61
2513,95,15 Dec 2022,392.22
9111,4341,02/10/2024,254.16
2670,787,17-03-2023,67.09
7469,1632,"Aug 09, 2023",88.32
6254,191,20-01-2022,308.07
9398,4336,2024-06-27,419.1
757,2455,"Sep 01, 2023",139.46
5201,4889,25 Feb 2023,409.81
2533,2368,2023-10-05,255.69
1457,867,2024-09-04,310.16
6407,2008,"Apr 22, 2022",356.23
